VOC_Date	Ep01	Ep02	Ep03	Ep04	Ep05	Ep06	Ep07	Ep08	Ep09	Ep10	Ep11	Ep12
WT_44094	0.000674223	0.000401559	0.001270774	0.001175266	0.002641377	0.000640299	0.000856704	0.000585358	0.001017635	0.00010054	0.00060092	0.00267256
WT_44101	0.000590124	0.000359042	0.000631485	0.000613172	0.002016122	0.000490342	0.000599214	0.000520404	0.000447861	0.000171577	0.000632062	0.002346419
WT_44108	0.000647809	0.000430725	0.00108083	0.000862981	0.002367319	0.000675094	0.000996673	0.001093054	0.000486254	0.000682902	0.001068613	0.002814828
WT_44115	0.000656578	0.00044231	0.000671959	0.000503513	0.000308479	0.000522786	0.00072812	0.001688681	0.001198335	0.00027925	0.000591439	0.00086083
WT_44122	0.000832768	0.000725892	0.000875801	0.001024264	0.003895079	0.000526808	0.001266021	0.001392503	0.000572183	0.000712129	0.000978177	0.004004911
WT_44129	0.00058756	0.000331688	0.000798656	0.000918611	0.001736435	0.000546305	0.001087901	0.001846452	0.00125473	0.000338309	0.000538354	0.002385202
WT_44136	0.001356012	0.001108348	0.001803674	0.001814444	0.00365577	0.000390878	0.002290379	0.002480732	0.001028003	0.000331911	0.000643061	0.004049058
WT_44143	0.000776167	0.000573077	0.001222863	0.001336159	0.001157716	0.000525046	0.001740904	0.001813366	0.001002318	0.000274411	0.000504821	0.001547765
WT_44150	0.000713153	0.000374533	0.001039069	0.001063351	0.006886689	0.000360287	0.001069254	0.001591103	0.000867741	0.000184564	0.000652871	0.007649848
WT_44157	0.001848485	0.001358556	0.002456232	0.002413996	0.000270513	0.000420636	0.002589688	0.002816613	0.000667265	0.000104915	0.000628356	0.001119022
WT_44164	0.003434393	0.003087182	0.004301119	0.004349558	0.004659294	0.000335816	0.004026756	0.004412611	0.000735508	0.00015856	0.000481581	0.005038919
WT_44171	0.002005395	0.001615262	0.007058032	0.006929521	0.004338771	0.00019518	0.006960689	0.00687036	0.000397835	0.000146702	0.000415353	0.005035285
WT_44178	0.001293942	0.000993218	0.011881889	0.011810507	0.004024494	0.000475491	0.012007397	0.011854	0.000412709	0.000132853	0.000252515	0.004271714
WT_44185	0.001463862	0.00101803	0.003443332	0.003706766	0.002793964	0.000740875	0.00401945	0.003969155	0.000690775	0.000208659	0.00037979	0.003413244
WT_44192	0.004220158	0.002850677	0.014131844	0.014239231	0.002572614	0.000845604	0.014187309	0.014104556	0.000573595	0.000384239	0.000611349	0.005765789
WT_44199	0.002216005	0.001580493	0.006612558	0.007040761	0.002658141	0.001533597	0.007463452	0.007631596	0.00095041	0.000683049	0.000920629	0.003141391
WT_44206	0.002109309	0.001438659	0.015461487	0.015987822	0.00211819	0.001077201	0.015977049	0.015963199	0.000481673	0.000678135	0.000876729	0.002691307
WT_44213	0.003696618	0.002805053	0.008281308	0.008315959	0.002833329	0.000809021	0.008470959	0.00824256	0.000330891	0.000359434	0.000537292	0.004823157
WT_44220	0.002896084	0.001589319	0.005357067	0.005196884	0.001030969	0.000914499	0.005315219	0.005417387	0.000869995	0.0002709	0.000535469	0.003346149
WT_44227	0.008092565	0.006099559	0.014670004	0.014875363	0.002547305	0.000906594	0.014522352	0.014239822	0.00056746	0.000254491	0.000533797	0.006803658
WT_44234	0.007852566	0.005647106	0.009989172	0.010241857	0.003113019	0.001000817	0.010675493	0.010460247	0.00078962	0.000192291	0.000417949	0.007074286
WT_44241	0.012901416	0.006425934	0.010462466	0.01049254	0.003974127	0.000703149	0.010723015	0.010355514	0.000615262	0.000155207	0.000314035	0.018689153
WT_44248	0.011794671	0.00748663	0.010070797	0.010080994	0.000882476	0.001357869	0.009711244	0.00944316	0.000629087	0.0002111	0.000498651	0.005371619
WT_44255	0.019935551	0.014695199	0.024286563	0.0243829	0.00125997	0.001384304	0.024252927	0.024182479	0.000526872	0.000108	0.000410301	0.011103187
WT_44262	0.012260934	0.010230607	0.020052959	0.020541797	0.002122692	0.001336015	0.020572972	0.019817551	0.000740397	0.000226569	0.00057617	0.005064597
WT_44269	0.02640533	0.020046095	0.022567412	0.022623742	0.001840265	0.001807204	0.022366207	0.021871285	0.000835973	0.000344371	0.000567951	0.015243095
