VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	NTD	RBD	SpikeOther	Ep01	Ep02	Ep03	Ep04	Ep05	Ep06	Ep07	Ep08	Ep09	Ep10	Ep11	Ep12	RBDOther	PressureCorrelation
BA.1	2022-02-13	12397499.1642993	0.804897397651677	0.254237550158904	0.0208100016095757	0.19658151948759	0.0368460290617374	0.00095551553210763	0.00689389186114777	0.00184636773347119	0.00250215921515763	0.00713915243311274	0.00461842659450126	0.0137432830467362	0.159703061501741	0.152563139964457	0.00015157592261943	7.65746999833009E-05	0.0017660046209149	0.0220873007477257	0
BA.1	2022-02-20	8410419.29931185	0.865301286558198	0.264827041081834	0.0222925299218963	0.207522913739679	0.0350115974202576	0.00114738232031675	0.00638764879445649	0.00208497518999376	0.00258994237755168	0.00640301083052124	0.00443594885286941	0.0122993283777214	0.169528030746486	0.163438990451474	9.68289249598714E-05	8.01466283965833E-05	0.00300427460925746	0.0238667165799078	0
BA.1	2022-02-27	6019320.72747553	0.908532232314362	0.2806703220535	0.0240342379541403	0.221735429548941	0.0349006545504182	0.00168392482729886	0.0119116302719901	0.0017202485006811	0.00256902324033769	0.006689707421549	0.00283121034891386	0.0110722529910338	0.179495602495466	0.173114251923234	0.000103916451954658	0.000171483697829047	0.00377700694595614	0.0244535251837384	0
BA.1	2022-03-06	4166962.917617	0.938459487567132	0.280684690947524	0.0252443380353131	0.219023707690223	0.0364166452219889	0.00131477732219643	0.00360289429192927	0.00159921920704554	0.00219793615229582	0.00578576037832242	0.00223265425597373	0.00949803912428476	0.187944422861637	0.18280241003251	0.000117255660482014	0.000134509394563561	0.00321867325292275	0.0221414420969617	0
BA.1	2022-03-13	3074861.9273	0.960543240070972	0.290343380168848	0.0259996138300919	0.226113871465224	0.0382298948735317	0.00157938631945216	0.00592161294812885	0.00148133293752327	0.00221970440108938	0.00520642952918748	0.00320850545920202	0.00871488377560542	0.191706245788819	0.188348748825309	0.000174027211875955	9.85068091423379E-05	0.00487418870292215	0.0223979927966098	0
BA.1	2022-03-20	1990573.55190801	0.974839600265468	0.302007440189021	0.0280874527100027	0.236516665719344	0.0374033217596734	0.00225998295870604	0.00713321274648007	0.00164579725853686	0.00352403847370324	0.0047378367598738	0.00282276665522672	0.0093908390813922	0.198802314527818	0.194970000868291	0.000282056796585366	0.000182979486829268	0.00351298234828205	0.0237863040921224	0
BA.1	2022-03-27	1351211.44823452	0.984544042256256	0.323342462752761	0.0308284231381808	0.251965644327268	0.0405483952873111	0.00273613111483335	0.0102163863242895	0.00291750839707248	0.00505556675457674	0.00416647836369946	0.00336649315079886	0.0105239347506886	0.207346696821318	0.203473290278981	0.00035332741820677	8.28084745654163E-05	0.00282074211909742	0.0248281782407012	0
BA.1	2022-04-03	889983.768258389	0.99093593292821	0.326870072414144	0.030414304558605	0.254457536195674	0.0419982316598656	0.00349278918771129	0.0111817848379108	0.00268012144269653	0.00362667938737084	0.00330735193427026	0.0035912991959244	0.00925280405002143	0.208720997268121	0.205463652077254	0.000287061478511236	0.000265940964325843	0.0025067150245777	0.0256071022601761	0
BA.1	2022-04-10	580999.477097794	0.995108688960983	0.343190724592834	0.0360761640134635	0.263104676880163	0.044009883699208	0.00462823245701236	0.00938905626532347	0.00261213370889314	0.00546495086333333	0.00376227782568403	0.00328416298875765	0.0099015526673774	0.218765386318547	0.214902003421869	0.000186384586363637	0.000190287915019763	0.00282140483814982	0.0259873935298075	0
BA.1	2022-04-17	279300.753602338	0.997114635524609	0.353614356314149	0.0405201912760013	0.267448171971893	0.0456459930662552	0.00466551940689573	0.00777783019185743	0.00273042603670039	0.00613989464701027	0.00538078497209908	0.00383427416135868	0.0127368730061553	0.222029541635277	0.217338848762954	0.0005953883565187	0.000318567110450892	0.00347359233298206	0.0261626740144139	0
BA.1	2022-04-24	135070.988887541	0.99808471950222	0.373714460929268	0.0491270933120778	0.273954027792863	0.0506333398243274	0.00479694195914299	0.0115274095925071	0.00228250694762491	0.0069705752378514	0.00909383879471594	0.00534765203083002	0.0171021381389782	0.223516929794946	0.214985922262744	0.000513597406211937	0.00031230206272838	0.0051291853393869	0.026346741820411	0
BA.1	2022-05-01	74292.2120283471	0.998618288443587	0.382520154761652	0.0385605389802874	0.290504033863927	0.0534555819174374	0.0119361857567465	0.019111778876364	0.00315242281192187	0.00842485859517629	0.0106561380062563	0.00643918850675623	0.017680800083621	0.22344957825284	0.212794657405093	0.000228063836587873	0.00136008394552929	0.00499426992274479	0.0327221704042848	0
