VOC	HaploName	Date	DateNum	HaploCount	OtherCount	HaploCases	OtherCases	AntigenicDistanceABS	AntigenicDistance	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	InfectionProportion	DailyRelativeGrowthAdvantages	InfPropGroup
XBB	24	2023-02-05	19	40	7569	2524.78329555601	477752.119101587	0.495189312815907	-0.303239094053851	0.0464489420423183	0.0474665875090795	0.0063140413850162	0.204069963890286	0.617183701273671	GA2
XBB	24	2023-02-12	20	64	9117	3700.98708901782	527217.176415242	0.476323541811942	-0.309217947079245	0.0304531096830411	0.0341168160030056	0.0046481048124039	0.231718438034386	0.76277391256973	GA2
XBB	24	2023-02-19	21	51	9907	2850.94100897222	553809.266193879	0.471478460011079	-0.320942795919832	0.0287668206467162	0.0338902385731286	0.0040650705698063	0.260707473264057	0.574557316556083	GA2
XBB	24	2023-02-26	22	56	10205	3263.8308475309	594774.889268801	0.476095371706343	-0.324808500428146	0.0219306110515545	0.0319700320698844	0.0040250897480891	0.291851365537719	0.194672981356779	GA2
XBB	24	2023-03-05	23	89	11034	4929.13824242424	611102.374909091	0.486780954314417	-0.333186048038905	0.0218124606670862	0.0394392623429309	0.0037533719875865	0.323932263374969	-0.0790814452593943	GA3
XBB	24	2023-03-12	24	70	10297	3949.12540490514	580916.347061546	0.496409502825462	-0.345536112752236	0.0227018423844893	0.0419786904639172	0.0028722048655036	0.354390136178817	-0.186257546177267	GA3
XBB	24	2023-03-19	25	106	9768	6087.73166419124	560990.215998303	0.52428343615536	-0.344723112947336	0.0279127000202552	0.0425744995888407	0.0033946265671794	0.383921693114352	-0.388511782364705	GA3
XBB	24	2023-03-26	26	76	9367	4491.15974145891	553535.438134811	0.550985562776241	-0.352582415038224	0.0305527904267711	0.0346423524795619	0.003943433637453	0.412981885482358	-0.466341506924791	GA4
XBB	24	2023-04-02	27	119	9527	7521.408758726	602155.136507417	0.598292376374953	-0.374187734781588	0.044321998755961	0.0484221962081491	0.0048051845578822	0.444731837465155	-0.600406152996156	GA4
XBB	24	2023-04-09	28	128	8760	8943.22716403635	612052.109038738	0.620247234630518	-0.400759186176637	0.0487376237623762	0.0568510843572371	0.003880065798157	0.47707123490314	-0.60043643008451	GA4
XBB	24	2023-04-16	29	77	9346	5037.18924235439	611397.021546028	0.64263851736115	-0.423162220579211	0.0380186777034915	0.038251296150317	0.001845999883764	0.50917310391065	-0.453753014229401	GA5
XBB	24	2023-04-23	30	50	8857	3456.29156429156	612247.487698607	0.65179372341345	-0.434822352669855	0.0491007073088581	0.0455722093706525	0.0017974489865096	0.541236934443429	-0.410674966654423	GA5
XBB	24	2023-04-30	31	52	8983	3451.4082824703	596230.780796745	0.670480902354426	-0.461207140229525	0.0469031543995572	0.0365396951192381	9.51255011824922e-05	0.572466413182671	-0.42761230925305	GA5
XBB	24	2023-05-07	32	53	7865	3735.07337981484	554270.794947994	0.708678693963624	-0.470608855172521	0.049598383430159	0.0376094470475104	0.0003734452722361	0.60152552602388	-0.392762785650335	GA6
XBB	24	2023-05-14	33	31	7335	1987.32069194943	470225.718562875	0.744965379318073	-0.484638559903758	0.0507588922074395	0.0428334676768906	0.000925508898152	0.62611683011521	-0.355353364369794	GA6
XBB	24	2023-05-21	34	25	6742	1455.1257604649	392418.315082175	0.81226856268921	-0.496510167897459	0.0550775823851041	0.0356907208350573	0.0011854443725959	0.646628465229193	-0.454300681288724	GA6
XBB	24	2023-05-28	35	19	6583	892.963682983683	309388.417109557	0.863324654317041	-0.506229759569356	0.064674341108755	0.0313869917052695	0.0016204140560843	0.662786900415541	-0.566694610842825	GA6
XBB	24	2023-06-04	36	21	5985	958.992633794348	273312.900631389	0.884474381821722	-0.531315497893565	0.061162171162171	0.032246315073815	0.0006844140513837	0.677070079765337	-0.68922081091968	GA6
XBB	24	2023-06-11	37	16	5069	664.79416607857	210615.101740766	0.915539582940194	-0.543783473578978	0.0725919370698132	0.032099560824593	0.0002551745068978	0.688072842791171	-0.761339500558673	GA6
XBB	24	2023-06-18	38	13	4926	505.909771621116	191700.887308124	0.949128750545252	-0.564883521777487	0.0570297631099414	0.0288218715807476	-0.0002527945851487	0.698082341476061	-0.825492677778805	GA6
XBB	24	2023-06-25	39	14	4724	481.521178637201	162479.003420153	0.987042413619907	-0.592561244459026	0.0575664837484171	0.0246521798162763	-0.0016707625344965	0.706568790350102	-0.837837839064307	GA7
XBB	24	2023-07-02	40	13	4172	552.19550342131	177212.280021055	1.01259993848152	-0.617460584150262	0.0473596176821984	0.0189660946431292	-0.0026847890069193	0.715826180364483	-0.865711309036422	GA7
XBB	24	2023-07-09	41	3	4331	122.160391730141	176358.885527748	1.03965269342613	-0.63841693019316	0.0407591139824642	0.0274203011173245	-0.0036932580232245	0.725016733580486	0	GA7
XBB	24	2023-07-16	42	3	4781	125.920079129575	200674.632772832	1.06430064360407	-0.653902001033057	0.0360284280936455	0.0233672806653408	-0.0044040271372853	0.735473766839631	0	GA7
XBB	24	2023-07-23	43	2	4957	99.6398036936588	246957.253454733	1.08332787466024	-0.678215882537987	0.025043355515225	0.0259023636858755	-0.0060256138800787	0.748339678377281	0	GA7
XBB	24	2023-07-30	44	3	5968	206.40032388664	410599.044318488	1.10480055848389	-0.707264116265059	0.0139222910735222	0.0238456253307429	-0.0084224832952472	0.769733076635653	0	GA7
XBB	24	2023-08-06	45	2	6945	107.202578268877	372260.953038674	1.1385125107822	-0.72016413584685	0.0151619404059307	0.0160907673897906	-0.0091677802881104	0.789124787129616	0	GA7
XBB	24	2023-08-13	46	1	7527	48.3874428345514	364212.282215668	1.16496349981865	-0.732692106215357	0.0080765143464398	0.0130641901811643	-0.0097897532550094	0.808094286384062	0	GA8
XBB	24	2023-08-20	47	3	8331	92.0400510796378	255595.221848154	1.18054142718051	-0.74202057023945	-0.00851091912647	0.0152838068422008	-0.0109891842416712	0.821409639173909	0	GA8
XBB	24	2023-09-10	50	1	11301	20.6937699498404	233860.294203146	1.24161812659741	-0.811393082892597	-0.0054963723234825	-0.0007405224053521	-0.0198215377657191	0.86650569839245	0	GA8
XBB	25	2022-12-18	12	1	2720	92.7571585627905	252299.47129079	0.947195736231765	0.13211590903147	0.568478500551268	0.221436720247746	0.0182228545160753	0.0614857667040256	1	GA0
XBB	25	2022-12-25	13	1	2679	96.2439037519513	257837.418151478	0.802283144763405	0.120270459096988	0.472865671641791	0.182615466412061	0.0142082001830612	0.0749181046356508	1	GA0
XBB	25	2023-01-01	14	6	2989	592.467515923567	295147.567515923	0.645864752836047	0.129314148817349	0.332641068447412	0.161161353918848	0.010938926786219	0.0903192742961189	0.765870611525047	GA0
XBB	25	2023-01-08	15	7	3780	627.616053975661	338912.669146856	0.514927554853525	0.13703303608669	0.222379191972537	0.124710258476856	0.0087518717244301	0.1080014171226	0.404429319713536	GA1
XBB	25	2023-01-15	16	17	4359	1660.65493626254	425811.462774613	0.425487148386538	0.123151718612773	0.167575411334552	0.0779587643878495	0.0067037034052183	0.130262760972363	0.357807868865083	GA1
XBB	25	2023-01-22	17	24	5115	2171.11053664608	462717.933122696	0.353646620562796	0.124490233620978	0.0977563728351821	0.0038401038188221	0.0051684378892996	0.154472655428889	0.222517321777739	GA1
XBB	25	2023-01-29	18	32	6714	2239.48975178335	469872.943546045	0.334892838974812	0.133216690030549	0.0637029350726356	-0.0316757578675249	0.0047249475014538	0.179058720292421	0.20589216688221	GA1
XBB	25	2023-02-05	19	34	7575	2146.06580122261	478130.83659592	0.344668581470063	0.150342316807164	0.0464489420423183	-0.0537813770716198	0.0063032259642125	0.204069963890286	0.0833136370735748	GA2
XBB	25	2023-02-12	20	50	9131	2891.39616329518	528026.767340965	0.32885904269508	0.144468485126188	0.0304531096830411	-0.0672304487660045	0.0046334493950558	0.231718438034386	0.0392869732678052	GA2
XBB	25	2023-02-19	21	69	9889	3857.15548272713	552803.051720124	0.324182532026856	0.133236464594439	0.0287668206467162	-0.0676047872842965	0.0040803049464505	0.260707473264057	0.0215330592382044	GA2
XBB	25	2023-02-26	22	62	10199	3613.52700976635	594425.193106566	0.329265989753457	0.12914358835067	0.0219306110515545	-0.0694365509822803	0.0040293509604259	0.291851365537719	0.0907189939982287	GA2
XBB	25	2023-03-05	23	57	11066	3156.86381818182	612874.649333333	0.345967672795472	0.120374344609552	0.0218124606670862	-0.061876053233418	0.0037331632940911	0.323932263374969	0.344691973795042	GA3
XBB	25	2023-03-12	24	79	10288	4456.87009982151	580408.60236663	0.354984957710117	0.108701239803685	0.0227018423844893	-0.0595853992284107	0.0028775894928657	0.354390136178817	0.298761466431934	GA3
XBB	25	2023-03-19	25	57	9817	3273.59155527265	563804.356107221	0.386730618300904	0.108723129247429	0.0279127000202552	-0.0588051583727813	0.0033612497954567	0.383921693114352	0.353464218640224	GA3
XBB	25	2023-03-26	26	64	9379	3782.0292559654	554244.568620305	0.407552806554434	0.101323632805414	0.0305527904267711	-0.0668374166014149	0.003934277418507	0.412981885482358	0.203320025713301	GA4
XBB	25	2023-04-02	27	52	9594	3286.66601221641	606389.879253927	0.459685404591635	0.0788615100587713	0.044321998755961	-0.0529208027318848	0.0047474474985014	0.444731837465155	0.0500885020531836	GA4
XBB	25	2023-04-09	28	61	8827	4262.00669536107	616733.329507413	0.484816327036687	0.0524841324084245	0.0487376237623762	-0.0446397887488776	0.0038281942319509	0.47707123490314	-0.186077237184501	GA4
XBB	25	2023-04-16	29	64	9359	4186.75469494391	612247.456093438	0.503504023057056	0.0307352965877778	0.0380186777034915	-0.0632300019290087	0.0018381433918932	0.50917310391065	-0.341153262846514	GA5
XBB	25	2023-04-23	30	62	8845	4285.80153972154	611417.977723177	0.506706383139222	0.0193796445399184	0.0491007073088581	-0.0559253730114772	0.0018045928986816	0.541236934443429	-0.488311079975278	GA5
XBB	25	2023-04-30	31	105	8930	6969.18980114196	592712.999278073	0.521653038755205	-0.0058320734165714	0.0469031543995572	-0.0654250878437778	0.0001164708226243	0.572466413182671	-0.652574807904925	GA5
XBB	25	2023-05-07	32	71	7847	5003.58886729912	553002.27946051	0.57030892924523	-0.0159401467178921	0.049598383430159	-0.0640886095916461	0.000382646855286	0.60152552602388	-0.644096729762504	GA6
XBB	25	2023-05-14	33	56	7310	3589.99866932801	468623.040585496	0.599698291037323	-0.0300409525754914	0.0507588922074395	-0.0587272314809826	0.0009421994398081	0.62611683011521	-0.676420227881508	GA6
XBB	25	2023-05-21	34	44	6723	2561.02133841823	391312.419504222	0.668205055912284	-0.0420778584831629	0.0550775823851041	-0.0657598070262981	0.0012020473554713	0.646628465229193	-0.624380525256246	GA6
XBB	25	2023-05-28	35	32	6570	1503.93883449883	308777.441958042	0.719986190935298	-0.0521450918211405	0.064674341108755	-0.0698979603056036	0.0016332322148241	0.662786900415541	-0.435255597978446	GA6
XBB	25	2023-06-04	36	24	5982	1095.99158147925	273175.901683704	0.737141665623962	-0.0776352193324165	0.061162171162171	-0.0689543391107388	0.0006872590866708	0.677070079765337	-0.419376385048478	GA6
XBB	25	2023-06-11	37	16	5069	664.79416607857	210615.101740766	0.773406772191929	-0.0903136671964676	0.0725919370698132	-0.0690154799315563	0.0002551745068978	0.688072842791171	-0.345942959051758	GA6
XBB	25	2023-06-18	38	15	4924	583.74204417821	191623.055035567	0.801068874702904	-0.111361877951885	0.0570297631099414	-0.0722822675438071	-0.0002502965578429	0.698082341476061	-0.27593813394565	GA6
XBB	25	2023-06-25	39	6	4732	206.366219415943	162754.158379374	0.839336247641069	-0.139721082178685	0.0575664837484171	-0.0762750520412472	-0.0016807097187201	0.706568790350102	-0.285199513198896	GA7
XBB	25	2023-07-02	40	8	4177	339.812617490037	177424.662906986	0.863544943504682	-0.164426093233192	0.0473596176821984	-0.0820259095077468	-0.0026911770922255	0.715826180364483	-0.496863581388603	GA7
