VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	SpikeCellEntryT1	RBDACE2bindingT1	EscapeScoreT1	AntigenicDistanceTn-1	SpikeCellEntryTn-1	RBDACE2bindingTn-1	EscapeScoreTn-1
Delta	2021-08-29	4431466.55589362	0.365476009058697	0.454776214265315	0.0480781472952871	-0.00135851721401182	0.000102124612684326	0.0717570636466506	0.0232147732809164	-0.000823936398469059	0.000117440959703871
Delta	2021-09-05	4230353.73937593	0.405069965431427	0.459945439919991	0.034227125502862	-0.00116966702726704	0.000263495133850039	0.0417299368526654	-0.0138510217924252	0.000188850186744771	0.000161370521165714
Delta	2021-09-12	3952410.31998979	0.442062512962426	0.450518345404663	0.023313874049401	-0.000816991639288463	0.000252893075629658	0.0507566044473389	-0.010913251453461	0.000352675387978578	-1.06020582203818E-05
Delta	2021-09-19	3673164.11298177	0.476441458223097	0.457062608941364	0.0234571294949551	-0.00182174925301659	0.000155390524845496	0.0364730889390499	0.000143255445554189	-0.00100475761372813	-9.75025507841622E-05
Delta	2021-09-26	3409299.90883242	0.508350768925747	0.46645878113508	0.0236935290701163	-0.00370576959816441	0.00030144958400117	0.0434487194801215	0.000236399575161119	-0.00188402034514782	0.000146059059155675
Delta	2021-10-03	3173566.35952673	0.538053733672049	0.476677466430651	0.00855865515670285	-0.0102593918312725	0.000616242974596513	0.0424908923411313	-0.0151348739134134	-0.00655362223310811	0.000314793390595344
Delta	2021-10-10	2974349.43527338	0.565892129473635	0.490365269200334	-0.0165865101672217	-0.00267624277159208	0.000519563734713657	0.0483983174750292	-0.0251451653239246	0.00758314905968044	-9.66792398828571E-05
Delta	2021-10-17	2940203.0602057	0.593410932596214	0.489228448669476	0.00205066139808753	-0.00218196006341251	0.000616881815639773	0.0436201761614128	0.0186371715653092	0.000494282708179568	9.73180809261157E-05
Delta	2021-10-24	3000500.76747671	0.621494091547679	0.48917417123486	0.0343703686423322	-0.000831674476679989	0.000832411171040413	0.0647573664113372	0.0323197072442447	0.00135028558673252	0.000215529355400641
Delta	2021-10-31	3099573.61986502	0.650504521937149	0.504188119014353	0.0353200860747787	-0.000717845004702539	0.000929752339484311	0.0476154912712135	0.000949717432446475	0.000113829471977453	9.73411684438981E-05
Delta	2021-11-07	3257478.88813405	0.680992865212409	0.511884632445108	0.030941658844165	-0.000822011779870344	0.000771748057281936	0.0420806638310504	-0.00437842723061386	-0.000104166775167807	-0.000158004282202375
