VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	SpikeCellEntryT1	RBDACE2bindingT1	EscapeScoreT1	AntigenicDistanceTn-1	SpikeCellEntryTn-1	RBDACE2bindingTn-1	EscapeScoreTn-1
Delta	2021-08-29	4431466.55589362	0.365476009058697	0.454776214265315	0.0480781472952871	-0.00135851721401182	0.000102124612684326	0.0717570636466506	0.0232147732809164	-0.000823936398469059	0.000117440959703871
Delta	2021-09-05	4230353.73937593	0.405069965431427	0.459945439919991	0.034227125502862	-0.00116966702726704	0.000263495133850039	0.0417299368526654	-0.0138510217924252	0.000188850186744771	0.000161370521165714
Delta	2021-09-12	3952410.31998979	0.442062512962426	0.450518345404663	0.023313874049401	-0.000816991639288463	0.000252893075629658	0.0507566044473389	-0.010913251453461	0.000352675387978578	-1.06020582203818E-05
Delta	2021-09-19	3673164.11298177	0.476441458223097	0.457062608941364	0.0234571294949551	-0.00182174925301659	0.000155390524845496	0.0364730889390499	0.000143255445554189	-0.00100475761372813	-9.75025507841622E-05
Delta	2021-09-26	3409299.90883242	0.508350768925747	0.46645878113508	0.0236935290701163	-0.00370576959816441	0.00030144958400117	0.0434487194801215	0.000236399575161119	-0.00188402034514782	0.000146059059155675
Delta	2021-10-03	3173566.35952673	0.538053733672049	0.476677466430651	0.00855865515670285	-0.0102593918312725	0.000616242974596513	0.0424908923411313	-0.0151348739134134	-0.00655362223310811	0.000314793390595344
Delta	2021-10-10	2974349.43527338	0.565892129473635	0.490365269200334	-0.0165865101672217	-0.00267624277159208	0.000519563734713657	0.0483983174750292	-0.0251451653239246	0.00758314905968044	-9.66792398828571E-05
Delta	2021-10-17	2940203.0602057	0.593410932596214	0.489228448669476	0.00205066139808753	-0.00218196006341251	0.000616881815639773	0.0436201761614128	0.0186371715653092	0.000494282708179568	9.73180809261157E-05
Delta	2021-10-24	3000500.76747671	0.621494091547679	0.48917417123486	0.0343703686423322	-0.000831674476679989	0.000832411171040413	0.0647573664113372	0.0323197072442447	0.00135028558673252	0.000215529355400641
Delta	2021-10-31	3099573.61986502	0.650504521937149	0.504188119014353	0.0353200860747787	-0.000717845004702539	0.000929752339484311	0.0476154912712135	0.000949717432446475	0.000113829471977453	9.73411684438981E-05
Delta	2021-11-07	3257478.88813405	0.680992865212409	0.511884632445108	0.030941658844165	-0.000822011779870344	0.000771748057281936	0.0420806638310504	-0.00437842723061386	-0.000104166775167807	-0.000158004282202375
Delta	2021-11-14	3503193.92064029	0.713780976042948	0.536971618395283	0.03549258424596	-0.000568713813150116	0.000889832679314768	0.068753852869956	0.00455092540179507	0.000253297966720229	0.000118084622032832
Delta	2021-11-21	3789547.05781276	0.749249206390414	0.542549209772594	0.0371324524174389	-0.000472464630697595	0.000990315723890742	0.0377055346230507	0.00163986817147892	9.62491824525187E-05	0.000100483044575975
Delta	2021-11-28	4040695.234043	0.787068055751177	0.54399136629664	0.0429823137296202	0.000379290021957057	0.000602908733110299	0.0508806687710955	0.00584986131218133	0.000851754652654653	-0.000387406990780444
Delta	2021-12-05	4169583.53461844	0.826093233959203	0.546599041508108	0.0370355941251053	0.00055483332519909	0.00109040550568811	0.0382373992819205	-0.00594671960451495	0.000175543303242032	0.000487496772577811
Delta	2021-12-12	4245572.31562266	0.865829628454391	0.558481801033158	0.0381956071769835	9.48932766551182E-05	0.00133862975701401	0.0411375229761528	0.00116001305187821	-0.000459940048543966	0.000248224251325898
Delta	2021-12-19	4059374.9886291	0.903823310804001	0.555172443476686	0.0259953592590308	-3.58145372248017E-05	0.0014618683521048	0.0697711041160148	-0.0122002479179526	-0.000130707813879923	0.000123238595090789
Delta	2021-12-26	3525661.83667504	0.936821709885139	0.542191454950361	0.0176778088609691	-0.00289265782519057	0.0020630425057033	0.0805815605120013	-0.00831755039806175	-0.00285684328796577	0.000601174153598498
Delta	2022-01-02	2881766.92408057	0.963793580536612	0.543649912716107	0.0217360328099097	-0.00327323917749317	0.00251417162639234	0.0754299826309082	0.00405822394894056	-0.000380581352302599	0.000451129120689043
Delta	2022-01-09	2018984.21423234	0.982690244461303	0.578319711214543	0.0282557916365557	-0.00543162590108632	0.00241020053728033	0.103105745891872	0.00651975882664604	-0.00215838672359315	-0.000103971089112008
Delta	2022-01-16	967993.485413788	0.991750170460828	0.57773213121935	0.0561617765133933	-0.00853623414943836	0.00286198675553302	0.122658818505538	0.0279059848768376	-0.00310460824835204	0.000451786218252691
Delta	2022-01-23	444086.303187583	0.995906592074102	0.581531606856047	0.0492671810520288	-0.0172104258624933	0.00262212304162506	0.142346030117978	-0.00689459546136453	-0.00867419171305493	-0.000239863713907957
Delta	2022-01-30	219080.308717762	0.997957072180471	0.571515018152062	0.0537487429088098	-0.000455172983720032	0.00185687355603191	0.169907495242047	0.00448156185678112	0.0167552528787733	-0.00076524948559315
Delta	2022-02-06	102434.684205087	0.998915808652015	0.614414507139448	0.0686306809967833	-0.00918695110050959	0.00873644497500815	0.217582675470855	0.0148819380879734	-0.00873177811678956	0.00687957141897623
