VOC	Date	InfectionProportion	HaploMax_AntigenicDistanceABS	HaploMax_ChangeACE2binding	HaploMax_ChangeCellEntry	HaploMax_ChangeImmuneEscape	AdvHaploMax_AntigenicDistanceABS	AdvHaploMax_ChangeACE2binding	AdvHaploMax_ChangeCellEntry	AdvHaploMax_ChangeImmuneEscape
Alpha	2020-11-29	0.00785018290042511	0.393579830928214	0.20195325542571	0.338383639398998	0.0236915464974958	0	0	0	0
Alpha	2020-12-06	0.00994175402749176	0.430508204928214	0.20195325542571	0.573683639398999	0.0236915464974958	0	0	0	0
Alpha	2020-12-13	0.016507335642114	0.690479318928213	0.38195325542571	0.975083639398998	0.0236915464974958	0	0	0	0
Alpha	2020-12-20	0.0287266010065659	0.539369756928214	0.22195325542571	0.931483639398998	0.333814023497496	0	0	0	0
Alpha	2020-12-27	0.0401159929906239	0.690479318928213	0.38195325542571	0.643283639398998	0.0905458614974958	0	0	0	0
Alpha	2021-01-03	0.0558329636913635	0.720981502263773	0.38195325542571	0.931483639398998	0.333814023497496	0	0	0	0
Alpha	2021-01-10	0.0729970554567519	0.861822904928214	0.43195325542571	0.791583639398998	0.333814023497496	0	0	0	0
Alpha	2021-01-17	0.0941532921113684	0.720981502263773	0.68195325542571	0.975083639398998	0.333814023497496	0	0	0	0
Alpha	2021-01-24	0.116574843904662	0.826023033928214	0.471953255425709	0.791583639398998	0.333814023497496	0	0	0	0
Alpha	2021-01-31	0.144327018273863	0.901899331928213	0.68195325542571	0.888483639398999	0.333814023497496	0	0	0	0
Alpha	2021-02-07	0.166337536864871	0.720981502263773	0.43195325542571	0.920683639398999	0.333814023497496	0	0	0	0
Alpha	2021-02-14	0.188130339499306	0.829438995263773	0.38195325542571	0.931483639398998	0.333814023497496	0	0	0	0
Alpha	2021-02-21	0.211756074600579	1.30022430592821	0.43195325542571	1.167683639399	0.333814023497496	0	0	0	0
Alpha	2021-02-28	0.23699623002629	1.30022430592821	0.68195325542571	1.167683639399	0.333814023497496	0	0	0	0
Alpha	2021-03-07	0.26575874398355	1.50071372492821	0.52195325542571	1.167683639399	0.333814023497496	0	0	0	0
Alpha	2021-03-14	0.299585412608674	1.30022430592821	0.68195325542571	0.920683639398999	0.333814023497496	0	0	0	0
Alpha	2021-03-21	0.339490225269342	1.59077520092821	0.68195325542571	1.550083639399	0.333896323497496	0	0	0	0
Alpha	2021-03-28	0.38490902806519	1.51060341062938	0.68195325542571	1.167683639399	0.333814023497496	0	0	0	0
Alpha	2021-04-04	0.434398834933946	1.55363075392821	0.68195325542571	1.167683639399	0.347851018497496	0	0	0	0
Alpha	2021-04-11	0.48968683963499	1.102845729399	0.55195325542571	1.167683639399	0.347851018497496	0	0	0	0
Alpha	2021-04-18	0.553729667813975	2.83144368392821	0.55195325542571	1.167683639399	0.347851018497496	0	0	0	0
Alpha	2021-04-25	0.623139986518016	1.102845729399	0.55195325542571	1.167683639399	0.347851018497496	0	0	0	0
Alpha	2021-05-02	0.693154341670314	1.102845729399	0.68195325542571	1.810283639399	0.347851018497496	0	0	0	0
Alpha	2021-05-09	0.758514450859424	1.102845729399	0.68195325542571	1.810283639399	0.347851018497496	0	0	0	0
Alpha	2021-05-16	0.817988594948361	1.102845729399	0.68195325542571	1.167683639399	0.347851018497496	0	0	0	0
Alpha	2021-05-23	0.865808138048605	1.102845729399	0.68195325542571	0.975083639398998	0.347851018497496	0	0	0	0
Alpha	2021-05-30	0.901282248537643	1.102845729399	0.68195325542571	1.810283639399	0.347851018497496	0	0	0	0
Alpha	2021-06-06	0.926524642878857	1.10781703926377	0.55195325542571	1.810283639399	0.347851018497496	0	0	0	0
Alpha	2021-06-13	0.94631877122949	1.39746463792821	0.43195325542571	1.810283639399	0.347851018497496	0	0	0	0
Alpha	2021-06-20	0.962099040937448	1.292399137399	0.43195325542571	1.810283639399	0.347851018497496	0	0	0	0
Alpha	2021-06-27	0.972412737601316	1.292399137399	0.55195325542571	0.975083639398998	0.347851018497496	0	0	0	0
