VOC	Date	TotalHaploCount	InfectionProportion	AntigenicDistanceABS	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	Type
Alpha	2021-01-10	1	0.072997055	0.861822905	0.431953255	0.791583639	0.333814023	All
Alpha	2021-01-17	1	0.094153292	0.720981502	0.681953255	0.975083639	0.333814023	All
Alpha	2021-01-24	1	0.116574844	0.826023034	0.471953255	0.791583639	0.333814023	All
Alpha	2021-01-31	1	0.144327018	0.901899332	0.681953255	0.888483639	0.333814023	All
Alpha	2021-02-07	1	0.166337537	0.720981502	0.431953255	0.920683639	0.333814023	All
Alpha	2021-02-14	1	0.188130339	0.829438995	0.381953255	0.931483639	0.333814023	All
Alpha	2021-02-21	1	0.211756075	1.300224306	0.431953255	1.167683639	0.333814023	All
Alpha	2021-02-28	1	0.23699623	1.300224306	0.681953255	1.167683639	0.333814023	All
Alpha	2021-03-07	1	0.265758744	1.500713725	0.521953255	1.167683639	0.333814023	All
Alpha	2021-03-14	1	0.299585413	1.300224306	0.681953255	0.920683639	0.333814023	All
Alpha	2021-03-21	1	0.339490225	1.590775201	0.681953255	1.550083639	0.333896323	All
Alpha	2021-03-28	1	0.384909028	1.510603411	0.681953255	1.167683639	0.333814023	All
Alpha	2021-04-04	1	0.434398835	1.553630754	0.681953255	1.167683639	0.347851018	All
Alpha	2021-04-11	1	0.48968684	1.102845729	0.551953255	1.167683639	0.347851018	All
Alpha	2021-04-18	1	0.553729668	2.831443684	0.551953255	1.167683639	0.347851018	All
Alpha	2021-04-25	1	0.623139987	1.102845729	0.551953255	1.167683639	0.347851018	All
Alpha	2021-05-02	1	0.693154342	1.102845729	0.681953255	1.810283639	0.347851018	All
Alpha	2021-05-09	1	0.758514451	1.102845729	0.681953255	1.810283639	0.347851018	All
Alpha	2021-05-16	1	0.817988595	1.102845729	0.681953255	1.167683639	0.347851018	All
Alpha	2021-05-23	1	0.865808138	1.102845729	0.681953255	0.975083639	0.347851018	All
Alpha	2021-05-30	1	0.901282249	1.102845729	0.681953255	1.810283639	0.347851018	All
Alpha	2021-06-06	1	0.926524643	1.107817039	0.551953255	1.810283639	0.347851018	All
Alpha	2021-06-13	1	0.946318771	1.397464638	0.431953255	1.810283639	0.347851018	All
Alpha	2021-06-20	1	0.962099041	1.292399137	0.431953255	1.810283639	0.347851018	All
Alpha	2021-06-27	1	0.972412738	1.292399137	0.551953255	0.975083639	0.347851018	All
Alpha	2021-07-04	1	0.979579744	1.292399137	0.471953255	0.975083639	0.347851018	All
Alpha	2021-07-11	1	0.985466991	1.292399137	0.381953255	0.915483639	0.347851018	All
Alpha	2021-07-18	1	0.990093034	1.292399137	0.381953255	0.975083639	0.347851018	All
Alpha	2021-07-25	1	0.993216079	1.292399137	0.681953255	0.915483639	0.347851018	All
Alpha	2021-08-01	1	0.995514373	1.292399137	0.381953255	0.975083639	0.347851018	All
