VOC	Date	InfectionProportion	HaploMid_AntigenicDistanceABS	HaploMid_ChangeACE2binding	HaploMid_ChangeCellEntry	HaploMid_ChangeImmuneEscape
WT	2021-02-21	0.845237251463982	0.571690275064935	0.0009090909090909	-0.0343493506493506	-0.001460566077922
WT	2021-02-28	0.854434157325655	0.579249970194805	0.0009090909090909	-0.0526493506493506	-0.001460566077922
WT	2021-03-07	0.863130897044671	0.593513604064935	0.0009090909090909	-0.0604493506493506	-0.001460566077922
WT	2021-03-14	0.870879967849828	0.659354795064935	0.0009090909090909	-0.0604493506493506	-0.001460566077922
WT	2021-03-21	0.878654344171937	0.745837050727273	0.0009090909090909	-0.0877493506493506	-0.001023995077922
WT	2021-03-28	0.886802783450613	0.756727085623377	0.0009090909090909	-0.0752493506493506	-0.000215060077922
WT	2021-04-04	0.896255625060516	0.956685957597403	0.0009090909090909	-0.113749350649351	0.0073138529220779
WT	2021-04-11	0.906419989048229	1.16078582506494	0.0709090909090909	-0.128949350649351	0.0086242529220779
WT	2021-04-25	0.925778448467758	1.45411987345455	0.0909090909090909	-0.207949350649351	0.0931787179220779
WT	2021-05-02	0.935318635462346	1.54729330919481	0.200909090909091	-0.223549350649351	0.124617148922078
WT	2021-05-09	0.943785044803552	1.56223850545455	0.210909090909091	-0.205449350649351	0.135807400922078
WT	2021-05-16	0.950844627656636	1.67019854819481	0.320909090909091	-0.206049350649351	0.260546933922078
WT	2021-05-23	0.956925641513222	1.94551994619481	0.320909090909091	-0.293149350649351	0.269321352922078
WT	2021-05-30	0.96175908935339	1.99971398222078	0.320909090909091	-0.293749350649351	0.269321352922078
WT	2021-06-06	0.966181081039943	2.34245416922078	0.320909090909091	-0.334249350649351	0.289747810922078
WT	2021-06-13	0.970182320703055	2.39651772557143	0.320909090909091	-0.320349350649351	0.289747810922078
WT	2021-06-20	0.974291133519919	2.33868434727273	0.320909090909091	-0.293749350649351	0.289747810922078
WT	2021-06-27	0.977486644420581	2.34245416922078	0.320909090909091	-0.313949350649351	0.289747810922078
WT	2021-07-04	0.980481174033874	2.47790878422078	0.320909090909091	-0.320349350649351	0.316627622922078
WT	2021-07-11	0.982970177064692	2.54056462522078	0.320909090909091	-0.320349350649351	0.342005953922078
WT	2021-07-18	0.985886936870902	2.36449893922078	0.320909090909091	-0.27084935064935	0.289747810922078
WT	2021-07-25	0.987582943451297	2.65053500183117	0.320909090909091	-0.334249350649351	0.342005953922078
WT	2021-08-01	0.988857939882002	2.45912473922078	0.320909090909091	-0.293749350649351	0.342005953922078
WT	2021-08-08	0.991582202239348	2.45912473922078	0.320909090909091	-0.299449350649351	0.316627622922078
WT	2021-08-15	0.992847255769639	2.45912473922078	0.320909090909091	-0.279749350649351	0.289747810922078
WT	2021-08-29	0.995343231922287	2.82752495383117	0.320909090909091	-0.368349350649351	0.342005953922078
WT	2021-09-12	0.995977723498825	2.59049956906494	0.320909090909091	-0.218149350649351	0.342005953922078
WT	2021-09-19	0.996229440429615	2.41824668122078	0.320909090909091	-0.0720493506493506	0.289747810922078
WT	2021-04-18	0.916186691603811	1.21555482406493	0.0709090909090909	-0.142549350649351	0.0799984539220779
WT	2021-08-22	0.994860972306211	2.79248581262338	0.320909090909091	-0.316349350649351	0.342005953922078
WT	2021-09-05	0.995707579563036	2.86891888962338	0.320909090909091	-0.368349350649351	0.342005953922078
Alpha	2020-11-15	0.0030841097687274	0.2495019900917	0.0019532554257095	0.0029787979966611	-0.0001402585025041
Alpha	2020-11-22	0.005215635738535	0.251135478278798	0.0019532554257095	-0.0642797996661101	-0.0001402585025041
Alpha	2020-11-29	0.0078501829004251	0.245896621928214	0.0019532554257095	0.0597836393989984	-0.0001402585025041
Alpha	2020-12-06	0.0099417540274917	0.223789953928214	0.0019532554257095	0.0273836393989984	-0.0001402585025041
Alpha	2020-12-13	0.016507335642114	0.248580808928214	0.0019532554257095	0.0227836393989984	-0.0001402585025041
Alpha	2020-12-20	0.0287266010065659	0.2495019900917	0.0019532554257095	0.0029787979966611	-0.0001402585025041
Alpha	2020-12-27	0.0401159929906239	0.2495019900917	0.0019532554257095	0.0301836393989984	-0.0001402585025041
Alpha	2021-01-03	0.0558329636913635	0.250560482928214	0.0019532554257095	0.0301836393989984	-0.0001402585025041
Alpha	2021-01-10	0.0729970554567519	0.252499402928214	0.0019532554257095	-0.0066163606010016	-0.0001402585025041
Alpha	2021-01-17	0.0941532921113684	0.251135478278798	0.0019532554257095	0.0100836393989984	-0.0001402585025041
Alpha	2021-01-24	0.116574843904662	0.255826669928214	0.0019532554257095	0.0059836393989983	-0.0001402585025041
Alpha	2021-01-31	0.144327018273863	0.252499402928214	0.0019532554257095	0.0100836393989984	-0.0001402585025041
Alpha	2021-02-07	0.166337536864871	0.252848693928214	0.0019532554257095	0.0144836393989984	-0.0001402585025041
Alpha	2021-02-14	0.188130339499306	0.253420891928214	0.0019532554257095	0.0226836393989984	-0.0001402585025041
Alpha	2021-02-21	0.211756074600579	0.252848693928214	0.0019532554257095	0.0330288814691152	-0.0001402585025041
