VOC	HaploName	Date	DateNum	HaploCount	OtherCount	HaploCases	OtherCases	AntigenicDistanceABS	AntigenicDistance	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	InfectionProportion	DailyRelativeGrowthAdvantages	InfPropGroup
XBB	149	2023-04-30	31	25	9010	1659.330905	598022.8582	1.40666039	-0.052038897	-0.213710951	0.149159762	-0.000524087	0.572466413	0.143630183	GA5
BQ.1	619	2022-12-11	14	7	19584	616.4369258	1724614.394	0.826088995	0.186235479	0.005259048	-0.165434392	-0.096973651	0.415127745	-0.194536704	GA4
WT	1096	2021-04-18	64	11	14468	855.7520608	1125547.347	2.299541527	-7.37E-08	0.060679544	1.012681147	0.107740228	0.916186692	-0.749703484	GA9
BA.4/5	301	2022-11-06	30	17	20816	1241.273806	1519903.267	1.210256514	0.713542805	0.05261587	0.09761703	0.187903562	0.870860115	0.310415389	GA8
WT	342	2021-01-03	49	4	20669	673.3366067	3479298.581	0.434918552	-0.164819582	-0.190010131	-0.553179631	-0.009512383	0.703897193	-0.733312562	GA7
Delta	125	2021-08-08	22	62	89301	2756.848249	3970795.25	0.39492762	-0.021287819	0.003606302	-0.247635023	-0.000675348	0.244038357	-0.367686689	GA2
Delta	497	2021-06-20	15	5	12685	451.1360356	1144532.122	0.449471165	0.014687654	0.006022065	-0.298990935	-0.00182216	0.052798323	-0.757202231	GA0
WT	1057	2020-12-06	45	4	14658	1111.419321	4072796.101	0.46423479	-0.017543163	-0.056604829	0.062014977	-0.005873199	0.576966608	-0.624063905	GA5
XBB	203	2023-01-01	14	1	2994	98.74458599	295641.2904	1.072566214	0.236516627	-0.417500907	-0.215257819	-0.005739051	0.090319274	-0.083178219	GA0
Delta	643	2021-12-05	39	16	116994	570.1507269	4169013.384	0.599090434	-0.010767798	0.005529955	0.19572438	-0.00165134	0.826093234	0.448561246	GA8
XBB	85	2023-10-08	54	34	9711	524.6230166	149841.5916	1.144649326	-0.017319361	-0.976356055	0.020808668	0.013956806	0.898051025	-0.477078793	GA8
WT	233	2020-06-07	19	15	3234	3809.401538	821306.9717	0.177359677	0.03570819	0.006995999	-0.218687861	-0.000355339	0.057788409	-0.984708028	GA0
WT	1259	2020-10-11	37	8	11315	1669.705344	2361589.496	0.475681195	0.158376906	-0.035379316	-0.060154922	-0.001136999	0.327325769	-0.361102467	GA3
WT	899	2021-06-06	71	6	6144	497.5536671	509494.9551	1.950877467	0.814008672	0.014782724	0.003755051	0.080863469	0.966181081	-0.409106524	GA9
Delta	109	2021-07-18	19	6	45599	384.2292219	2920078.048	0.462904241	0.238564869	0.005839711	-0.036020489	-0.00105052	0.13893393	0.117787563	GA1
XBB	1461	2023-03-19	25	9	9865	516.8828771	566561.0648	0.668792563	0.389257493	-0.432506413	-0.446772854	0.003328876	0.383921693	-0.607201677	GA3
BQ.1	66	2022-10-09	5	12	2009	1068.113479	178819.9982	0.497662098	0.034732025	0.005368629	-0.110343119	-0.078085706	0.022345868	-0.613751237	GA0
Delta	469	2021-07-11	18	2	40108	127.6101746	2559094.442	0.720016819	-0.418212015	0.005887809	0.087619205	-0.001141704	0.111599891	-0.13126463	GA1
BQ.1	129	2022-12-04	13	1	19199	76.02873605	1459675.703	0.556453508	0.392217714	0.007024479	0.147611324	0.054729303	0.323743826	1	GA3
BA.4/5	211	2022-10-02	25	16	30387	1414.313153	2686045.861	0.412622827	0.068159215	0.008643226	0.283452203	-0.036106539	0.762127686	1	GA7
WT	697	2020-06-14	20	7	4534	1427.277191	924467.8261	0.31301693	0.161604492	-0.623655582	-0.14420414	0.002229997	0.065816567	-0.953806577	GA0
BA.1	69	2022-01-16	8	4	97086	746.7645018	18125094.6	0.44741251	0.344150837	0.083396772	-0.005353699	0.008690455	0.31430033	1	GA3
Alpha	124	2021-02-21	15	9	24438	538.4352654	1462031.224	0.274965823	0.142816974	0.006814333	-0.073405942	-0.000435257	0.211756075	0.165524133	GA2
WT	8	2021-01-31	53	932	21236	83582.75043	1904467.047	0.633583184	-0.058952042	-0.064466799	0.081953553	-0.023733971	0.806841961	-0.494669102	GA8
BA.2	2177	2022-04-24	19	6	55356	493.5602517	4553586.882	0.32115793	0.113516756	-0.014066869	-0.368214321	-0.005114462	0.71890599	-0.322394411	GA7
Alpha	166	2021-06-13	31	18	15200	1449.38091	1223921.658	0.364659139	0.079406921	-0.572071613	0.010515269	0.037049631	0.946318771	0.287817658	GA9
