"","V1","V2"
"WT_2020-11-29",-4.57808091288262,-0.71640675056062
"WT_2020-12-06",-4.56615224156289,-0.708904353167415
"WT_2020-12-13",-4.59383829254364,-0.701183768189125
"WT_2020-12-20",-4.60245968439999,-0.699739202182215
"WT_2020-12-27",-4.59487136451501,-0.716195022737557
"WT_2021-01-03",-4.58693122416702,-0.711709610600247
"WT_2021-01-10",-4.59679388168465,-0.69342418081585
"WT_2021-01-17",-4.60462987612083,-0.688421051277703
"WT_2021-01-24",-4.61575372023227,-0.690102697551709
"WT_2021-01-31",-4.62491502062305,-0.709350220086438
"WT_2021-02-07",-4.64756385583681,-0.715347210798274
"WT_2021-02-14",-4.64119701233016,-0.735967186764496
"WT_2021-02-21",-4.66172153611422,-0.736763066476043
"WT_2021-02-28",-4.70592560674909,-0.737248333666152
"WT_2021-03-07",-4.72163716473995,-0.738935719548261
"WT_2021-03-14",-4.7693715870978,-0.754388485396743
"WT_2021-03-21",-4.83464191585156,-0.74885488795131
"WT_2021-03-28",-4.95299897535902,-0.77040961529952
"WT_2021-04-04",-4.96138439147762,-0.768989649536315
"WT_2021-04-11",-5.09185447952688,-0.786203125797947
"WT_2021-04-18",-5.1138576858602,-0.783271656773602
"WT_2021-04-25",-5.18885440074246,-0.810801018484074
"WT_2021-05-02",-5.23350509764652,-0.829673878680582
"WT_2021-05-09",-5.21012068380892,-0.827319389917913
"WT_2021-05-16",-5.30379598900424,-0.856410963257994
"WT_2021-05-23",-5.37717717449294,-0.874979344296218
"WT_2021-05-30",-5.38051413160703,-0.879344716537683
"WT_2021-06-06",-5.42492685388922,-0.908003656749897
"WT_2021-06-13",-5.46420729007773,-0.907701248781841
"WT_2021-06-20",-5.40164041751252,-0.880534996110608
"WT_2021-06-27",-5.44029167872592,-0.871637772481344
"WT_2021-07-04",-5.51199428829726,-0.880190217238573
"WT_2021-07-11",-5.47021839487618,-0.862194786298117
"WT_2021-07-18",-5.315771506145,-0.851384103447036
"WT_2021-07-25",-5.46603776719409,-0.839206552939084
"WT_2021-08-01",-5.42034034117363,-0.830379498312265
