VOC	Date	Cases	AverageNUCMutCount	
BA.2.86	2023-11-12	15795.22647	126.2365591	0.826723074
BA.2.86	2023-11-19	27868.89142	126.8880779	0.651518719
BA.2.86	2023-11-26	51030.73301	127.4916456	0.603567711
BA.2.86	2023-12-03	87073.37688	127.9225806	0.430935076
BA.2.86	2023-12-10	139812.0917	128.2297185	0.307137898
BA.2.86	2023-12-17	188081.7191	128.451853	0.222134482
BA.2.86	2023-12-24	202748.2331	128.517121	0.065267986
BA.2.86	2023-12-31	188161.1769	128.7067726	0.18965154
BA.2.86	2024-01-07	160719.693	128.9286421	0.22186953
BA.2.86	2024-01-14	138584.8825	129.1369215	0.208279405
BA.2.86	2024-01-21	121909.3054	129.5462772	0.409355702
BA.2.86	2024-01-28	101765.5165	129.6652998	0.119022659
BA.2.86	2024-02-04	90454.62618	130.1205334	0.455233578
BA.2.86	2024-02-11	79526.95006	130.1156394	-0.004893995
BA.2.86	2024-02-18	72235.70031	130.3621764	0.246536984
BA.2.86	2024-02-25	67778.91363	130.6473973	0.285220918
BA.2.86	2024-03-03	61983.99308	130.849009	0.201611677
BA.2.86	2024-03-10	56412.30763	130.9544091	0.105400109
BA.2.86	2024-03-17	49523.95029	131.2481203	0.293711183
BA.2.86	2024-03-24	67705.27976	131.5570228	0.308902508
BA.4/5	2022-04-24	24019.93225	75.91496599	0.561732156
BA.4/5	2022-05-01	50240.77648	75.3100304	-0.604935591
BA.4/5	2022-05-08	72317.22257	74.92479675	-0.385233647
BA.4/5	2022-05-15	119607.5346	75.1980198	0.273223054
BA.4/5	2022-05-22	200322.9945	75.12926675	-0.068753051
BA.4/5	2022-05-29	338581.9633	75.17925496	0.049988205
BA.4/5	2022-06-05	619178.5948	75.21839719	0.039142231
BA.4/5	2022-06-12	1024139.49	75.61119301	0.392795824
BA.4/5	2022-06-19	1837281.485	75.457649	-0.153544012
BA.4/5	2022-06-26	2839656.818	75.57443891	0.116789907
BA.4/5	2022-07-03	3968583.421	75.89421102	0.319772114
BA.4/5	2022-07-10	5007867.388	76.23856176	0.344350738
BA.4/5	2022-07-17	5888834.696	76.46142137	0.222859609
BA.4/5	2022-07-24	6426862.707	76.69174179	0.230320423
BA.4/5	2022-07-31	6598038.34	77.00200635	0.310264563
BA.4/5	2022-08-07	6238729.544	77.31113155	0.309125198
BA.4/5	2022-08-14	5701967.496	77.56165059	0.250519043
BA.4/5	2022-08-21	4993473.426	77.84665319	0.285002595
BA.4/5	2022-08-28	4507826.134	78.15180068	0.30514749
BA.4/5	2022-09-04	3794400.933	78.45959506	0.307794384
BA.4/5	2022-09-11	3291693.369	78.69274198	0.233146917
BA.4/5	2022-09-18	2901323.158	78.88959524	0.196853262
BA.4/5	2022-09-25	2831331.132	79.21912408	0.329528837
BA.4/5	2022-10-02	2687460.175	79.41437964	0.195255562
BA.4/5	2022-10-09	2551189.044	79.47398504	0.059605394
BA.4/5	2022-10-16	2358430.845	79.82299177	0.349006735
BA.4/5	2022-10-23	2077080.572	80.0116093	0.188617533
BA.4/5	2022-10-30	1769610.227	80.36496225	0.353352947
BA.4/5	2022-11-06	1521144.541	80.65403562	0.289073368
BA.4/5	2022-11-13	1413727.729	80.93249927	0.278463653
BA.4/5	2022-11-20	1392439.773	81.28796346	0.355464188
BA.4/5	2022-11-27	1353701.534	81.59700707	0.309043613
BA.4/5	2022-12-04	1256678.978	81.98547366	0.388466587
BA.4/5	2022-12-11	1212619.495	82.14569536	0.160221704
BA.4/5	2022-12-18	1169667.769	82.28448662	0.13879126
BA.4/5	2022-12-25	1038182.99	82.69634797	0.411861345
BA.4/5	2023-01-01	782945.8223	82.96884608	0.272498106
BA.4/5	2023-01-08	695757.2256	83.27341849	0.304572416
BA.4/5	2023-01-15	548113.8146	83.38185098	0.108432487
BA.4/5	2023-01-22	398941.5611	83.65263719	0.270786209
BA.4/5	2023-01-29	245434.08	83.80524699	0.1526098
BA.4/5	2023-02-05	175977.3957	84.01295775	0.20771076
BA.4/5	2023-02-12	125486.5935	84.28967851	0.276720765
