VOC	Date	Cases	AverageNUCMutCount
BA.2	2022-08-21	92761.8587811728	83.1115618661258
BA.2	2022-08-28	73992.8720170644	85.1733966745843
BA.2	2022-09-04	55488.138596053	87.2599681020734
BA.2	2022-09-11	57407.2963717448	88.5194610778443
BA.2	2022-09-18	64457.2309832563	90.9810479375697
BA.2	2022-09-25	72774.9489675273	91.6703539823009
BA.2	2022-10-02	80881.0334415683	92.409534127844
BA.2	2022-10-09	99067.5251472447	92.697695035461
BA.2	2022-10-16	104175.556021799	93.4621026894866
BA.2	2022-10-23	109970.153337769	93.6579554189085
BA.2	2022-10-30	111676.288385096	94.2331288343558
BA.2	2022-11-06	123689.283926434	94.8443534230544
BA.2	2022-11-13	135353.918134862	95.0081925243216
BA.2	2022-11-20	174700.08323045	95.3336233144846
BA.2	2022-11-27	195323.834973647	95.9258635214827
BA.2	2022-12-04	223676.541457864	96.3117489986649
BA.2	2022-12-11	284353.547627461	96.6071757129715
BA.2	2022-12-18	325206.597921143	96.8562605277934
BA.2	2022-12-25	321358.394627766	97.4117298578199
BA.2	2023-01-01	336027.82611465	97.8991011887504
BA.2	2023-01-08	327256.942430166	98.1773011132229
BA.2	2023-01-15	272347.409547057	98.3927168868261
BA.2	2023-01-22	201008.650517816	98.6074306177261
BA.2	2023-01-29	165652.257577225	98.9688814129521
BA.2	2023-02-05	143849.528264304	99.531453362256
BA.2	2023-02-12	124445.690868224	99.9238486092111
BA.2	2023-02-19	117838.895037519	100.206735266604
BA.2	2023-02-26	111028.531509757	100.559979317477
BA.2	2023-03-05	100853.491454545	100.814054054054
BA.2	2023-03-12	62114.1010114365	101.368
BA.2	2023-03-19	67079.9111676922	101.698049194232
BA.2	2023-03-26	57025.9098751033	101.951612903226
BA.2	2023-04-02	61308.9621509599	102.357502517623
BA.2	2023-04-09	50026.1769488283	103.09234828496
BA.2	2023-04-16	44484.268633779	103.572022160665
BA.2	2023-04-23	39816.4788206388	103.777777777778
BA.2	2023-04-30	37699.9981623679	104.776073619632
BA.2.86	2023-10-01	1435.81537692836	123.112244897959
BA.2.86	2023-10-08	2422.52392979729	123.687898089172
BA.2.86	2023-10-15	3208.05187816166	124.090452261307
BA.2.86	2023-10-22	4135.93662950032	124.898832684825
BA.2.86	2023-10-29	6296.05161449	124.978048780488
BA.2.86	2023-11-05	9092.04654687162	125.409836065574
BA.2.86	2023-11-12	15795.2264682079	126.236559139785
BA.2.86	2023-11-19	27868.891421891	126.888077858881
BA.2.86	2023-11-26	51030.7330086809	127.49164556962
BA.2.86	2023-12-03	87073.3768815677	127.922580645161
BA.2.86	2023-12-10	139812.091733427	128.229718543046
BA.2.86	2023-12-17	188081.719091674	128.451853025024
BA.2.86	2023-12-24	202748.233067322	128.517121010638
BA.2.86	2023-12-31	188161.176865046	128.706772550195
BA.2.86	2024-01-07	160719.693015031	128.928642079977
BA.2.86	2024-01-14	138584.882483722	129.136921484548
BA.2.86	2024-01-21	121909.305386796	129.546277186855
BA.2.86	2024-01-28	101765.516456475	129.665299846233
BA.2.86	2024-02-04	90454.6261758028	130.120533424517
BA.2.86	2024-02-11	79526.9500607456	130.115639429833
BA.2.86	2024-02-18	72235.7003065315	130.36217641419
BA.2.86	2024-02-25	67778.9136253041	130.647397331938
BA.2.86	2024-03-03	61983.9930769231	130.849009009009
BA.2.86	2024-03-10	56412.3076258371	130.954409118176
BA.2.86	2024-03-17	49523.950294861	131.248120300752
BA.2.86	2024-03-24	67705.2797619048	131.557022809124
BA.4/5	2022-04-17	19622.3178867773	75.3532338308458
BA.4/5	2022-04-24	24019.9322504031	75.9149659863946
BA.4/5	2022-05-01	50240.7764796016	75.3100303951368
BA.4/5	2022-05-08	72317.2225710442	74.9247967479675
BA.4/5	2022-05-15	119607.534564761	75.1980198019802
BA.4/5	2022-05-22	200322.99451589	75.1292667509482
BA.4/5	2022-05-29	338581.963346918	75.1792549555707
BA.4/5	2022-06-05	619178.594770324	75.2183971867481
BA.4/5	2022-06-12	1024139.49049292	75.611193011193
BA.4/5	2022-06-19	1837281.484532	75.457648999498
BA.4/5	2022-06-26	2839656.8177721	75.5744389060316
BA.4/5	2022-07-03	3968583.4213544	75.8942110196024
BA.4/5	2022-07-10	5007867.38769459	76.2385617580025
BA.4/5	2022-07-17	5888834.69589356	76.4614213666277
BA.4/5	2022-07-24	6426862.70677657	76.6917417900837
BA.4/5	2022-07-31	6598038.34011511	77.0020063534526
BA.4/5	2022-08-07	6238729.54414467	77.3111315510588
BA.4/5	2022-08-14	5701967.496455	77.5616505943037
BA.4/5	2022-08-21	4993473.42598092	77.8466531895777
BA.4/5	2022-08-28	4507826.1337155	78.1518006795017
BA.4/5	2022-09-04	3794400.93300025	78.4595950637306
BA.4/5	2022-09-11	3291693.36874415	78.6927419807876
BA.4/5	2022-09-18	2901323.15794704	78.8895952423675
BA.4/5	2022-09-25	2831331.13181556	79.2191240791897
BA.4/5	2022-10-02	2687460.17456175	79.4143796408361
BA.4/5	2022-10-09	2551189.0438188	79.4739850353332
BA.4/5	2022-10-16	2358430.84504124	79.8229917704464
BA.4/5	2022-10-23	2077080.57170104	80.011609303852
BA.4/5	2022-10-30	1769610.22725287	80.3649622512011
BA.4/5	2022-11-06	1521144.54075525	80.6540356195529
