VOC	Date	Cases	HaploNum	HaploNumPer100Seq
BA.1	2022-01-30	19533806.7464031	4577	0.0500322471332845
BA.1	2022-02-06	16244804.8103502	4736	0.054100982408042
BA.1	2022-02-13	12397499.1642993	4292	0.0551323716425388
BA.1	2022-02-20	8410419.29931185	4063	0.0582291905526255
BA.1	2022-02-27	6019320.72747553	3388	0.0678522790995754
BA.1	2022-03-06	4166962.917617	2514	0.0815465957377794
BA.1	2022-03-13	3074861.9273	2146	0.0886154354379155
BA.1	2022-03-20	1990573.55190801	1583	0.0965243902439024
BA.1	2022-03-27	1351211.44823452	1258	0.115096065873742
BA.1	2022-04-03	889983.768258389	914	0.128370786516854
BA.1	2022-04-10	580999.477097794	705	0.139328063241107
BA.1	2022-04-17	279300.753602338	515	0.18000699056274
BA.1	2022-04-24	135070.988887541	376	0.228989037758831
BA.1	2022-05-01	74292.2120283471	264	0.271325796505653
BA.1	2022-05-08	43862.1278590941	196	0.329411764705882
BA.1	2022-05-15	43806.1033071563	175	0.249643366619116
BA.2	2021-12-19	8382.65277245432	8	0.0575539568345324
BA.2	2021-12-26	48448.2283755196	38	0.0826086956521739
BA.2	2022-01-02	250633.11455676	82	0.0480374926772115
BA.2	2022-01-09	706526.720527896	247	0.0588095238095238
BA.2	2022-01-16	1117159.69464149	307	0.0513034759358289
BA.2	2022-01-23	1926254.90510125	432	0.0421833805292452
BA.2	2022-01-30	2498711.2793521	554	0.0473423346436507
BA.2	2022-02-06	3355478.18803692	856	0.0473398960292003
BA.2	2022-02-13	3739522.34936964	1047	0.0445873434971467
BA.2	2022-02-20	4756414.18209908	1552	0.0393299713641317
BA.2	2022-02-27	5390288.93311586	1605	0.0358947980498278
BA.2	2022-03-06	6844421.42859937	1748	0.0345195307871559
BA.2	2022-03-13	8385686.9606723	2132	0.0322815092968324
BA.2	2022-03-20	9579877.97142947	2405	0.030471194901618
BA.2	2022-03-27	9450815.44324179	2525	0.0330289870238594
BA.2	2022-04-03	8217975.11856008	2532	0.0385124344056582
BA.2	2022-04-10	6762558.34054381	2610	0.0443154034229829
BA.2	2022-04-17	5507916.29438794	2632	0.0466501240694789
BA.2	2022-04-24	4554080.44262608	2785	0.050305263538167
BA.2	2022-05-01	3836623.91572496	2698	0.0536936793504219
BA.2	2022-05-08	3476386.93374648	2909	0.0616862462360575
BA.2	2022-05-15	3203344.73841389	3325	0.0648641267240202
BA.2	2022-05-22	2949894.10581223	3264	0.070210157241498
BA.2	2022-05-29	2564774.30766694	3221	0.0727728700210117
BA.2	2022-06-05	2221755.1062324	3007	0.0777887003311258
BA.2	2022-06-12	1994294.28946771	2983	0.0838510189739986
BA.2	2022-06-19	1686703.02282944	2608	0.101982559730966
BA.2	2022-06-26	1370159.92406875	2172	0.11893549446939
BA.2	2022-07-03	1144364.57064835	1885	0.130540166204986
BA.2	2022-07-10	953668.280207561	1543	0.138014311270125
BA.2	2022-07-17	719205.456877572	1189	0.149899142713061
BA.2	2022-07-24	486359.417137055	882	0.187819420783646
BA.2	2022-07-31	311802.406959875	633	0.249114521841795
BA.2	2022-08-07	197493.062353738	472	0.298923369221026
BA.2	2022-08-14	135250.565672596	343	0.327602674307545
BA.2	2022-08-21	92761.8587811728	312	0.37910085054678
BA.2	2022-08-28	73992.8720170644	268	0.371191135734072
BA.2	2022-09-04	55488.138596053	222	0.387434554973822
BA.2	2022-09-11	57407.2963717448	243	0.394480519480519
BA.2	2022-09-18	64457.2309832563	300	0.348027842227378
BA.2	2022-09-25	72774.9489675273	285	0.32130777903044
BA.2	2022-10-02	80881.0334415683	289	0.315846994535519
BA.2	2022-10-09	99067.5251472447	355	0.31895777178796
BA.2	2022-10-16	104175.556021799	362	0.300414937759336
BA.2	2022-10-23	109970.153337769	371	0.289391575663027
BA.2	2022-10-30	111676.288385096	393	0.269178082191781
BA.2	2022-11-06	123689.283926434	425	0.250885478158205
